pickup_community_area,dropoff_community_area,trips
38,13,7
64,68,6
20,35,4
73,20,1
59,54,1
9,19,10
2,54,2
10,42,4
72,10,1
12,53,2
71,11,1
55,36,2
58,53,1
64,51,3
49,62,3
75,47,2
55,40,1
48,54,1
12,36,1
62,36,3
66,11,1
63,75,3
51,22,2
47,72,2
27,9,1
4,74,1
50,5,1
73,2,2
63,13,1
73,26,2
62,10,1
55,5,1
67,10,1
57,55,1
38,12,2
29,52,1
47,63,1
14,21,4902
14,11,4168
6,8,1135262
41,68,1365
41,58,205
41,6,4685
41,37,1095
3,77,118773
3,76,39343
3,10,987
33,8,624596
8,13,8067
7,76,118746
28,22,105450
28,59,4891
28,45,478
28,36,2131
28,67,2126
28,18,372
31,32,10612
31,5,510
31,4,421
2,30,146
30,58,304
30,67,35
30,42,37
56,28,84709
11,22,1145
76,6,300549
76,29,942
48,35,60
45,69,143
39,39,15607
69,42,369
69,40,151
69,67,171
38,37,388
38,42,834
40,3,72
40,34,94
40,76,110
35,7,761
35,44,553
35,43,760
33,47,21
33,27,672
32,41,122451
49,50,102
49,71,63
37,66,41
34,24,2599
34,61,408
34,34,12345
34,35,2585
34,25,59
34,77,281
34,17,17
7,21,24898
60,60,10766
60,34,1486
73,28,186
7,60,3126
7,14,11745
7,2,10921
7,59,755
7,74,62
7,75,248
7,58,411
77,8,104935
6,58,663
6,30,1446
6,51,70
71,70,127
71,28,1256
71,35,64
77,4,48455
61,60,257
77,14,8157
77,9,135
77,56,7112
1,77,46960
1,64,25
59,58,1948
24,42,786
24,29,2414
24,37,157
5,1,5228
5,19,1074
5,2,5752
5,10,889
4,3,43074
4,6,48395
4,5,21596
4,24,15533
4,31,583
4,21,4690
4,15,2840
4,12,1313
22,12,795
22,19,8314
22,17,833
70,29,17
21,77,2311
21,15,4414
21,20,2183
21,17,1058
21,56,1142
23,5,434
23,22,4443
23,33,174
16,8,18912
16,17,2180
16,61,62
13,13,24740
13,77,2002
57,8,370
26,29,128
20,5,127
25,8,883
25,18,127
12,14,495
15,2,607
19,21,1263
19,24,991
19,26,51
19,28,672
56,71,1188
56,3,17486
56,31,5326
56,72,3957
56,21,3166
56,52,185
56,38,2330
56,25,2072
56,75,1515
18,76,279
10,9,652
10,1,217
10,28,970
10,21,373
17,18,210
17,7,85
14,9,168
3,46,175
46,77,10
2,39,52
30,33,146
30,18,21
76,52,154
76,71,306
51,49,66
51,56,67
43,56,869
42,69,453
50,43,49
36,7,112
38,49,151
38,27,40
38,16,22
35,56,2089
33,20,129
37,69,117
34,58,274
34,70,82
53,73,20
68,66,88
60,30,288
61,63,152
67,75,22
67,22,6
59,33,360
5,62,26
4,35,120
22,37,43
70,56,716
21,38,24
21,61,116
21,26,71
23,10,43
13,26,5
57,29,40
57,28,633
65,19,14
20,11,74
25,7,124
25,5,48
25,20,130
12,20,30
19,11,446
18,8,129
29,45,7
54,44,5
52,41,27
31,50,5
72,49,32
30,68,34
42,50,98
39,47,38
39,25,66
50,8,45
50,51,36
38,3,144
38,24,196
35,50,30
49,32,142
34,68,140
34,16,281
34,20,25
60,57,100
73,40,35
61,69,48
61,7,40
1,61,44
58,42,9
22,75,26
70,37,50
16,43,35
65,72,3
25,65,13
12,56,117
18,16,37
17,59,13
41,23,98
47,73,7
31,10,28
66,3,42
51,41,62
51,32,84
48,72,7
48,38,57
39,70,52
38,70,44
34,45,15
53,29,5
7,52,21
75,38,76
46,3,50
55,29,1
40,72,6
33,18,42
37,60,20
37,22,10
6,52,57
75,34,29
59,75,1
26,41,6
46,23,7
43,1,32
38,72,20
68,50,17
73,51,9
7,47,26
59,23,21
27,16,58
46,55,16
42,27,18
68,51,27
1,50,9
21,63,55
16,52,5
62,38,14
26,30,27
20,10,35
52,32,18
46,73,23
48,7,9
49,35,53
71,50,7
5,26,34
4,40,13
30,46,24
51,29,2
42,77,52
50,48,22
35,15,37
37,43,35
60,12,7
75,45,13
16,69,41
65,20,5
25,42,38
14,44,35
39,15,30
50,6,6
67,25,12
58,51,6
58,49,4
13,41,39
57,39,11
19,66,17
63,46,8
53,43,27
61,12,2
12,46,1
20,61,14
77,75,10
26,4,9
29,63,24
21,51,4
75,29,12
57,37,13
65,34,10
65,25,19
18,31,7
64,63,27
36,23,12
71,64,10
57,36,1
36,19,4
69,74,2
37,11,1
75,65,5
5,69,19
13,39,7
13,68,4
35,65,22
68,31,19
74,49,5
11,40,10
37,65,8
23,45,4
62,16,16
38,77,31
1,62,6
58,5,15
15,36,4
42,20,2
53,71,22
50,35,7
71,5,3
62,37,4
65,61,30
72,3,4
21,40,14
35,11,18
52,43,8
63,19,14
27,64,2
62,73,4
15,61,14
26,69,7
63,21,7
68,14,4
63,69,13
40,13,3
58,39,10
72,39,4
64,21,5
26,58,6
63,14,6
7,55,6
77,52,6
54,66,3
21,69,16
26,61,8
71,74,3
11,63,3
11,66,3
17,61,2
9,65,1
51,30,1
67,20,2
75,59,1
52,55,1
50,52,3
68,54,6
46,72,7
75,16,5
25,75,1
48,25,5
63,74,1
50,3,7
36,65,3
47,54,1
27,65,3
68,58,5
63,5,3
51,10,1
45,4,2
71,10,1
52,71,2
66,77,4
71,12,4
13,57,1
63,9,1
46,15,1
54,76,4
60,9,1
23,52,3
55,16,1
16,51,6
45,5,1
70,15,1
54,71,1
74,62,1
59,55,2
52,29,1
10,63,3
67,54,2
26,62,1
23,55,1
15,53,1
17,50,1
14,53,1
4,55,1
14,1,3212
14,10,867
14,23,1486
14,20,986
14,26,98
41,45,616
41,41,70703
41,76,18461
41,77,806
41,47,88
3,33,8466
5,4,30060
46,46,2014
46,24,27
47,47,224
8,76,1119023
8,24,1439689
8,25,7904
8,19,9731
8,58,4843
8,61,4633
8,68,1662
8,53,239
7,24,310043
6,16,83786
28,23,9447
28,4,24826
28,20,1713
28,61,5485
28,69,2539
28,55,88
31,39,266
31,3,857
31,29,357
2,76,10569
2,11,1034
66,22,19
63,27,19
30,25,169
30,24,310
30,8,724
57,57,2272
56,24,54355
11,4,3805
11,19,2617
76,24,142489
76,28,212862
76,25,3916
76,27,1110
76,59,1195
51,76,47
48,69,148
43,33,972
45,41,211
42,33,655
42,38,869
42,24,320
39,56,5307
39,73,102
39,61,495
36,28,707
44,45,269
44,49,527
44,35,388
44,34,170
44,38,238
38,8,1577
38,69,413
35,32,23642
35,8,15223
35,76,2293
35,60,1067
35,10,24
35,13,36
35,14,51
33,23,704
33,13,355
33,37,357
33,71,321
32,28,2979438
32,56,302787
32,30,9635
32,38,13997
32,44,2779
34,28,13384
34,60,2678
34,7,1701
34,56,1260
60,65,39
60,76,1158
60,41,408
7,12,1856
77,32,70102
6,15,13843
6,60,4284
6,75,173
6,64,541
6,36,316
61,61,4581
77,23,721
1,33,1203
1,11,680
1,5,3347
24,10,2372
24,66,339
24,62,233
5,60,350
5,58,56
4,11,2919
4,1,9768
4,30,145
58,2,62
22,56,7404
22,15,5324
22,14,7522
22,38,186
21,76,7998
70,33,202
21,7,10974
23,27,381
23,77,230
16,12,1366
16,62,22
13,3,1392
13,24,409
57,59,90
57,56,595
20,7,837
20,77,61
20,30,57
15,15,32414
25,15,284
25,27,242
12,4,441
12,8,659
15,16,5327
15,12,466
15,10,886
19,16,1064
19,6,574
19,22,1794
19,20,791
56,39,9483
56,58,1562
56,18,197
56,68,496
56,51,270
18,6,38
10,46,6
10,13,182
17,24,193
9,9,826
14,41,152
14,30,195
41,11,53
41,50,126
3,72,37
3,38,293
66,68,73
63,61,110
63,24,45
63,70,32
30,34,73
64,28,236
51,52,11
48,43,423
43,3,151
43,47,89
45,49,73
42,21,29
42,13,22
42,15,565
50,28,37
44,52,6
69,66,73
69,33,291
69,56,253
35,16,116
33,9,104
37,53,20
37,68,147
34,29,157
53,61,7
68,35,118
68,49,115
73,38,36
7,53,18
7,65,107
6,26,216
71,29,41
71,3,43
71,42,57
77,29,224
77,73,62
67,66,101
1,44,86
24,75,114
4,63,15
4,17,374
58,63,107
22,57,178
27,1,32
70,71,104
74,56,66
23,76,770
62,5,38
62,56,602
57,3,34
65,44,9
65,21,103
20,41,12
25,68,278
19,58,89
41,59,294
46,50,32
31,35,475
63,66,143
63,60,69
48,42,158
42,49,280
39,57,74
50,32,48
36,27,14
69,6,45
38,50,59
40,46,46
49,46,67
34,64,40
77,61,88
67,61,59
75,76,53
75,33,34
59,38,19
24,50,41
5,42,66
27,41,39
27,3,209
23,36,4
65,8,199
26,77,18
19,31,71
9,3,11
29,2,35
29,60,66
29,5,60
54,14,1
3,51,33
46,7,200
47,8,48
47,28,20
63,59,67
63,25,14
51,39,19
43,27,41
45,76,44
36,48,37
36,73,49
53,75,32
7,45,45
59,66,32
4,58,47
21,39,52
74,75,19
23,64,5
25,73,10
54,55,12
46,40,24
48,53,17
69,7,33
37,62,6
34,48,27
34,75,73
61,48,10
5,36,23
70,63,21
25,61,23
25,12,14
15,62,25
19,36,1
18,23,28
39,21,69
36,45,19
69,36,50
40,70,47
33,74,53
60,5,90
71,60,10
75,74,25
4,61,51
58,29,56
57,6,53
65,51,6
,33,14
41,26,32
31,71,47
43,57,9
39,1,116
36,77,39
36,16,21
49,77,13
61,36,28
75,53,25
24,51,54
5,67,16
21,62,10
62,14,15
62,63,82
57,38,7
20,42,3
20,50,3
,3,3
50,56,30
49,4,15
68,59,9
62,59,20
10,23,42
9,14,17
29,37,7
46,34,24
30,15,33
64,43,1
48,34,23
73,45,8
27,74,3
65,13,2
25,49,42
25,37,19
55,3,9
43,63,27
68,2,11
75,52,2
62,42,27
25,39,14
47,48,23
33,52,62
5,65,22
21,66,23
21,71,9
18,77,18
69,60,28
5,57,24
21,43,37
20,63,15
19,40,5
64,60,26
42,23,20
59,20,9
25,41,33
19,67,10
37,46,8
37,72,8
75,35,9
19,63,18
10,49,3
10,20,30
47,35,9
44,4,8
49,63,2
53,35,8
68,77,15
26,72,2
54,32,9
40,59,6
71,2,5
65,15,2
40,21,5
60,17,12
58,13,3
65,43,17
59,42,12
46,14,3
37,36,15
12,39,3
72,35,7
70,49,13
59,37,11
37,75,12
65,42,13
30,69,30
36,57,7
1,37,9
40,75,20
17,69,6
36,1,16
62,12,2
14,46,16
3,75,16
47,38,13
50,54,15
35,55,3
49,74,5
6,54,15
74,41,1
74,2,1
36,10,2
17,34,7
68,1,10
46,2,12
66,13,3
53,46,4
36,13,3
37,20,1
53,45,16
53,40,5
46,19,2
11,35,6
40,1,9
22,54,3
65,49,5
72,77,1
73,14,2
43,11,4
61,47,2
17,52,1
39,54,4
3,54,4
70,5,3
61,55,6
42,11,5
50,31,2
58,12,3
51,62,1
48,20,1
44,12,1
55,69,7
64,38,3
36,64,1
27,36,6
65,5,7
20,40,1
74,3,1
72,29,3
36,17,3
47,37,2
10,48,2
54,73,1
73,47,3
20,72,1
48,63,3
45,13,1
55,77,2
74,6,2
14,55,1
10,65,3
49,59,2
,1,1
20,74,1
65,12,1
